index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,tons_never_harvested_not_marketable,tons_never_harvested_inedible,tons_never_harvested_bad_weather,tons_never_harvested_pests_disease,tons_never_harvested_market_dynamics,tons_never_harvested_other
2280,2016,california,broccoli,produce,broccoli,123000.0,122000.0,774390000.0,1067500.0,0.5,1000.0,8.8,725.4,4400.0,1232.0,1232.0,184.8,2.8,0.6,1747.9
2281,2016,arizona,cabbage,produce,cabbage,3700.0,3700.0,50435000.0,79550.0,0.5,0.0,21.5,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282,2016,california,cabbage,produce,cabbage,14600.0,14400.0,158976000.0,288000.0,0.5,200.0,20.0,552.0,2000.0,560.0,560.0,84.0,1.3,0.3,794.5
2283,2016,florida,cabbage,produce,cabbage,8500.0,7900.0,49422000.0,134300.0,0.5,600.0,17.0,368.0,5100.0,1428.0,1428.0,214.2,3.2,0.7,2025.9
2284,2016,georgia,cabbage,produce,cabbage,4400.0,4100.0,21968000.0,77900.0,0.5,300.0,19.0,282.0,2850.0,798.0,798.0,119.7,1.8,0.4,1132.1
2285,2016,michigan,cabbage,produce,cabbage,3600.0,3500.0,15987000.0,57750.0,0.5,100.0,16.5,276.8,825.0,231.0,231.0,34.7,0.5,0.1,327.7
2286,2016,new york,cabbage,produce,cabbage,11000.0,10600.0,70962000.0,204050.0,0.5,400.0,19.2,347.8,3840.0,1075.2,1075.2,161.3,2.4,0.5,1525.4
2287,2016,north carolina,cabbage,produce,cabbage,3000.0,2900.0,13073000.0,35525.0,0.5,100.0,12.2,368.0,610.0,170.8,170.8,25.6,0.4,0.1,242.3
2288,2016,texas,cabbage,produce,cabbage,6100.0,5700.0,35910000.0,99750.0,0.5,400.0,17.5,360.0,3500.0,980.0,980.0,147.0,2.2,0.5,1390.3
2289,2016,wisconsin,cabbage,produce,cabbage,4100.0,4000.0,31721000.0,133000.0,0.5,100.0,33.2,238.5,1660.0,464.8,464.8,69.7,1.0,0.2,659.4
2290,2016,arizona,cantaloupe,produce,cantaloupe,16000.0,15900.0,63147000.0,186825.0,0.5,100.0,11.8,338.0,590.0,165.2,165.2,24.8,0.4,0.1,234.4
2291,2016,california,cantaloupe,produce,cantaloupe,30000.0,29500.0,142485000.0,442500.0,0.5,500.0,15.0,322.0,3750.0,1050.0,1050.0,157.5,2.4,0.5,1489.6
2292,2016,florida,cantaloupe,produce,cantaloupe,2400.0,2300.0,11861000.0,31050.0,0.5,100.0,13.5,382.0,675.0,189.0,189.0,28.4,0.4,0.1,268.1
2293,2016,georgia,cantaloupe,produce,cantaloupe,4100.0,4000.0,12988000.0,34000.0,0.5,100.0,8.5,382.0,425.0,119.0,119.0,17.8,0.3,0.1,168.8
2294,2016,indiana,cantaloupe,produce,cantaloupe,1800.0,1700.0,7234000.0,15725.0,0.5,100.0,9.2,460.0,460.0,128.8,128.8,19.3,0.3,0.1,182.7
2295,2016,north carolina,cantaloupe,produce,cantaloupe,1200.0,1100.0,6618000.0,10340.0,0.5,100.0,9.4,640.0,470.0,131.6,131.6,19.7,0.3,0.1,186.7
2296,2016,pennsylvania,cantaloupe,produce,cantaloupe,1000.0,1000.0,3645000.0,6750.0,0.5,0.0,6.8,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2297,2016,south carolina,cantaloupe,produce,cantaloupe,1700.0,1600.0,7362000.0,17200.0,0.5,100.0,10.8,428.0,540.0,151.2,151.2,22.7,0.3,0.1,214.5
2298,2016,texas,cantaloupe,produce,cantaloupe,2000.0,1900.0,5225000.0,11875.0,0.5,100.0,6.2,440.0,310.0,86.8,86.8,13.0,0.2,0.0,123.1
2299,2016,california,carrots,produce,carrots,61000.0,60000.0,722395000.0,1155000.0,0.5,1000.0,19.2,625.5,9600.0,2688.0,2688.0,403.2,6.0,1.2,3813.5
2300,2016,michigan,carrots,produce,carrots,4000.0,3900.0,12700000.0,66300.0,0.5,100.0,17.0,191.6,850.0,238.0,238.0,35.7,0.5,0.1,337.7
2301,2016,texas,carrots,produce,carrots,2100.0,2000.0,6608000.0,29500.0,0.5,100.0,14.8,224.0,740.0,207.2,207.2,31.1,0.5,0.1,294.0
2302,2016,washington,carrots,produce,carrots,7200.0,7100.0,34528000.0,223650.0,0.5,100.0,31.5,154.4,1575.0,441.0,441.0,66.2,1.0,0.2,625.7
2303,2016,wisconsin,carrots,produce,carrots,4600.0,4500.0,10588000.0,112500.0,0.5,100.0,25.0,94.1,1250.0,350.0,350.0,52.5,0.8,0.2,496.6
2304,2016,arizona,cauliflower,produce,cauliflower,5400.0,5400.0,70707000.0,44550.0,0.5,0.0,8.2,1587.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2305,2016,california,cauliflower,produce,cauliflower,36500.0,36500.0,345054000.0,328500.0,0.5,0.0,9.0,1050.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
