index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity
2969,2018,,,,,1900.0,1700.0,2385000.0,5100.0,0.5
2970,2018,,,,,29000.0,27600.0,58702000.0,69000.0,0.5
2971,2018,,,,,12200.0,11900.0,28025000.0,27965.0,0.5
2972,2018,,,,,9000.0,8800.0,9294000.0,40040.0,0.5
2973,2018,,,,,2700.0,2600.0,3123000.0,9360.0,0.5
2974,2018,,,,,3000.0,3000.0,3456000.0,9000.0,0.5
2975,2018,,,,,21000.0,18200.0,21520000.0,68250.0,0.5
2976,2018,,,,,2900.0,2800.0,4714000.0,10780.0,0.5
2977,2018,,,,,2900.0,2700.0,5986000.0,5940.0,0.5
2978,2018,,,,,28000.0,26300.0,34023000.0,105200.0,0.5
2979,2018,,,,,5600.0,4800.0,8020000.0,10800.0,0.5
2980,2018,,,,,11600.0,11500.0,23596000.0,71875.0,0.5
2981,2018,,,,,8000.0,7400.0,8057000.0,21830.0,0.5
2982,2018,,,,,7900.0,7100.0,10544000.0,13490.0,0.5
2983,2018,,,,,3000.0,2800.0,5723000.0,9800.0,0.5
2984,2018,,,,,3200.0,3200.0,7856000.0,12320.0,0.5
2985,2018,,,,,67000.0,63500.0,47877000.0,317500.0,0.5
2986,2018,,,,,12400.0,12400.0,75342000.0,192200.0,0.5
2987,2018,,,,,3900.0,3900.0,55566000.0,37800.0,0.5
2988,2018,,,,,7300.0,7300.0,34197000.0,40000.0,0.5
2989,2018,,,,,47000.0,47000.0,681564000.0,848000.0,0.5
2990,2018,,,,,75500.0,75200.0,890461000.0,1158550.0,0.5
2991,2018,,,,,213500.0,210400.0,1786564000.0,2867550.0,0.5
2992,2018,,,,,14000.0,14000.0,104626000.0,120500.0,0.5
2993,2018,,,,,41600.0,41000.0,240220000.0,922500.0,0.5
2994,2018,,,,,4100.0,2600.0,27261000.0,58500.0,0.5
2995,2018,,,,,11600.0,10800.0,110519000.0,140400.0,0.5
2996,2018,,,,,8500.0,8400.0,48668000.0,373800.0,0.5
2997,2018,,,,,7200.0,7100.0,79591000.0,209450.0,0.5
2998,2018,,,,,7800.0,7500.0,42752000.0,112500.0,0.5
2999,2018,,,,,19500.0,19300.0,100339000.0,774700.0,0.5
3000,2018,,,,,12500.0,11000.0,61380000.0,165000.0,0.5
3001,2018,,,,,22000.0,21900.0,176211000.0,865050.0,0.5
3002,2018,,,,,147000.0,147000.0,1093052000.0,1816000.0,0.5
3003,2018,,,,,361800.0,361800.0,701855000.0,2028000.0,0.5
3004,2018,,,,,8700.0,8700.0,35538000.0,80000.0,0.5
3005,2018,,,,,3500.0,3500.0,66066000.0,11050.0,0.5
3006,2018,,,,,44000.0,44000.0,168080000.0,88000.0,0.5
3007,2018,,,,,11500.0,11500.0,86109000.0,30000.0,0.5
3008,2018,,,,,800.0,800.0,5702000.0,5200.0,0.5
3009,2018,,,,,36000.0,36000.0,304213000.0,479000.0,0.5
3010,2018,,,,,2500.0,2500.0,28140000.0,15000.0,0.5
3011,2018,,,,,10000.0,10000.0,23868000.0,26000.0,0.5
3012,2018,,,,,2400.0,2400.0,12642000.0,12000.0,0.5
3013,2018,,,,,4100.0,4100.0,41048000.0,23000.0,0.5
3014,2018,,,,,3700.0,3700.0,20670000.0,17400.0,0.5
3015,2018,,,,,14000.0,14000.0,71546000.0,65800.0,0.5
3016,2018,,,,,2000.0,2000.0,9099000.0,13300.0,0.5
3017,2018,,,,,10700.0,10700.0,77344000.0,161500.0,0.5
3018,2018,,,,,15000.0,15000.0,140966000.0,246000.0,0.5
3019,2018,,,,,20600.0,20600.0,210630000.0,398000.0,0.5
3020,2018,,,,,4400.0,4000.0,2477000.0,8400.0,0.5
3021,2018,,,,,52000.0,45800.0,17306000.0,66410.0,0.5
3022,2018,,,,,6900.0,6700.0,3351000.0,12395.0,0.5
3023,2018,,,,,19800.0,18900.0,7190000.0,28350.0,0.5
3024,2018,,,,,33000.0,32400.0,22766000.0,89100.0,0.5
3025,2018,,,,,24900.0,23300.0,11811000.0,48930.0,0.5
